UTC,Open,High,Low,Close,Volume
01.04.2026 00:00:00.000 UTC,0.226,0.23,0.226,0.23,0.705
01.04.2026 00:05:00.000 UTC,0.23,0.23,0.229,0.229,0.66
01.04.2026 00:10:00.000 UTC,0.23,0.23,0.23,0.23,0.33
01.04.2026 00:15:00.000 UTC,0.23,0.23,0.229,0.229,0.33
01.04.2026 00:20:00.000 UTC,0.229,0.23,0.229,0.229,0.22
01.04.2026 00:25:00.000 UTC,0.23,0.23,0.229,0.23,0.33
01.04.2026 00:30:00.000 UTC,0.23,0.23,0.229,0.229,0.33
01.04.2026 00:35:00.000 UTC,0.229,0.23,0.229,0.23,0.11
01.04.2026 00:40:00.000 UTC,0.23,0.23,0.23,0.23,0.22
01.04.2026 00:45:00.000 UTC,0.23,0.231,0.23,0.231,0.33
01.04.2026 00:50:00.000 UTC,0.232,0.232,0.232,0.232,0.55
01.04.2026 00:55:00.000 UTC,0.232,0.232,0.232,0.232,
01.04.2026 01:00:00.000 UTC,0.229,0.233,0.229,0.233,0.485
01.04.2026 01:05:00.000 UTC,0.232,0.233,0.232,0.232,0.33
01.04.2026 01:10:00.000 UTC,0.232,0.233,0.232,0.232,0.44
01.04.2026 01:15:00.000 UTC,0.232,0.232,0.231,0.232,0.44
01.04.2026 01:20:00.000 UTC,0.231,0.232,0.231,0.231,0.33
01.04.2026 01:25:00.000 UTC,0.231,0.231,0.228,0.231,0.265
01.04.2026 01:30:00.000 UTC,0.231,0.231,0.23,0.231,0.55
01.04.2026 01:35:00.000 UTC,0.23,0.231,0.23,0.231,0.22
01.04.2026 01:40:00.000 UTC,0.231,0.231,0.23,0.231,0.33
01.04.2026 01:45:00.000 UTC,0.231,0.231,0.23,0.231,0.44
01.04.2026 01:50:00.000 UTC,0.231,0.231,0.23,0.231,0.33
01.04.2026 01:55:00.000 UTC,0.231,0.231,0.23,0.23,0.22
01.04.2026 02:00:00.000 UTC,0.231,0.231,0.23,0.23,0.44
01.04.2026 02:05:00.000 UTC,0.23,0.23,0.23,0.23,
01.04.2026 02:10:00.000 UTC,0.23,0.23,0.23,0.23,0.33
01.04.2026 02:15:00.000 UTC,0.23,0.231,0.23,0.231,0.33
01.04.2026 02:20:00.000 UTC,0.23,0.231,0.23,0.23,0.77
01.04.2026 02:25:00.000 UTC,0.23,0.23,0.23,0.23,0.22
01.04.2026 02:30:00.000 UTC,0.23,0.23,0.229,0.229,0.22
01.04.2026 02:35:00.000 UTC,0.23,0.23,0.23,0.23,0.22
01.04.2026 02:40:00.000 UTC,0.23,0.23,0.23,0.23,
01.04.2026 02:45:00.000 UTC,0.23,0.23,0.23,0.23,
01.04.2026 02:50:00.000 UTC,0.23,0.23,0.23,0.23,0.11
01.04.2026 02:55:00.000 UTC,0.23,0.23,0.23,0.23,0.11
01.04.2026 03:00:00.000 UTC,0.226,0.23,0.226,0.23,0.265
01.04.2026 03:05:00.000 UTC,0.231,0.233,0.23,0.232,0.88
01.04.2026 03:10:00.000 UTC,0.232,0.232,0.232,0.232,0.11
01.04.2026 03:15:00.000 UTC,0.232,0.232,0.232,0.232,0.22
01.04.2026 03:20:00.000 UTC,0.231,0.232,0.231,0.231,0.33
01.04.2026 03:25:00.000 UTC,0.231,0.231,0.231,0.231,
01.04.2026 03:30:00.000 UTC,0.232,0.233,0.232,0.232,1.21
01.04.2026 03:35:00.000 UTC,0.232,0.233,0.232,0.233,0.33
01.04.2026 03:40:00.000 UTC,0.232,0.233,0.232,0.233,0.99
01.04.2026 03:45:00.000 UTC,0.233,0.234,0.233,0.234,0.55
01.04.2026 03:50:00.000 UTC,0.233,0.233,0.233,0.233,0.33
01.04.2026 03:55:00.000 UTC,0.233,0.233,0.233,0.233,0.22
01.04.2026 04:00:00.000 UTC,0.233,0.234,0.233,0.233,1.1
01.04.2026 04:05:00.000 UTC,0.233,0.233,0.232,0.233,0.55
01.04.2026 04:10:00.000 UTC,0.233,0.233,0.232,0.232,0.55
01.04.2026 04:15:00.000 UTC,0.232,0.233,0.232,0.232,0.33
01.04.2026 04:20:00.000 UTC,0.233,0.233,0.232,0.233,0.44
01.04.2026 04:25:00.000 UTC,0.233,0.233,0.233,0.233,0.11
01.04.2026 04:30:00.000 UTC,0.233,0.233,0.232,0.233,0.33
01.04.2026 04:35:00.000 UTC,0.233,0.233,0.233,0.233,0.33
01.04.2026 04:40:00.000 UTC,0.233,0.233,0.233,0.233,0.22
01.04.2026 04:45:00.000 UTC,0.233,0.233,0.229,0.233,0.47
01.04.2026 04:50:00.000 UTC,0.229,0.233,0.229,0.232,0.8600000000000001
01.04.2026 04:55:00.000 UTC,0.232,0.232,0.232,0.232,
01.04.2026 05:00:00.000 UTC,0.232,0.232,0.232,0.232,0.11
01.04.2026 05:05:00.000 UTC,0.232,0.233,0.232,0.232,0.44
01.04.2026 05:10:00.000 UTC,0.232,0.233,0.232,0.233,0.44
01.04.2026 05:15:00.000 UTC,0.233,0.234,0.233,0.233,0.33
01.04.2026 05:20:00.000 UTC,0.233,0.234,0.233,0.234,0.66
01.04.2026 05:25:00.000 UTC,0.235,0.235,0.235,0.235,0.33
01.04.2026 05:30:00.000 UTC,0.235,0.235,0.234,0.235,0.55
01.04.2026 05:35:00.000 UTC,0.235,0.235,0.235,0.235,0.11
01.04.2026 05:40:00.000 UTC,0.235,0.235,0.235,0.235,0.11
01.04.2026 05:45:00.000 UTC,0.236,0.237,0.235,0.236,0.66
01.04.2026 05:50:00.000 UTC,0.237,0.237,0.237,0.237,0.33
01.04.2026 05:55:00.000 UTC,0.236,0.237,0.236,0.237,0.44
01.04.2026 06:00:00.000 UTC,0.237,0.237,0.237,0.237,0.22
01.04.2026 06:05:00.000 UTC,0.237,0.24,0.237,0.24,1.32
01.04.2026 06:10:00.000 UTC,0.24,0.242,0.237,0.241,2.225
01.04.2026 06:15:00.000 UTC,0.241,0.241,0.24,0.241,3.1900000000000004
01.04.2026 06:20:00.000 UTC,0.241,0.241,0.24,0.24,0.22
01.04.2026 06:25:00.000 UTC,0.24,0.24,0.24,0.24,0.33
01.04.2026 06:30:00.000 UTC,0.24,0.241,0.24,0.241,0.55
01.04.2026 06:35:00.000 UTC,0.241,0.241,0.24,0.24,1.21
01.04.2026 06:40:00.000 UTC,0.24,0.241,0.24,0.24,0.44
01.04.2026 06:45:00.000 UTC,0.241,0.241,0.239,0.239,0.66
01.04.2026 06:50:00.000 UTC,0.239,0.239,0.239,0.239,
01.04.2026 06:55:00.000 UTC,0.24,0.24,0.239,0.24,0.55
