UTC,Open,High,Low,Close,Volume
01.04.2026 00:00:00.000 UTC,183.48,183.48,183.416,183.436,1256.6999999999998
01.04.2026 00:05:00.000 UTC,183.434,183.487,183.432,183.471,921.45
01.04.2026 00:10:00.000 UTC,183.47,183.494,183.459,183.468,821.25
01.04.2026 00:15:00.000 UTC,183.468,183.52,183.461,183.462,876.75
01.04.2026 00:20:00.000 UTC,183.463,183.468,183.363,183.399,1276.6499999999999
01.04.2026 00:25:00.000 UTC,183.399,183.473,183.388,183.471,1037.4
01.04.2026 00:30:00.000 UTC,183.469,183.528,183.457,183.521,772.3499999999999
01.04.2026 00:35:00.000 UTC,183.521,183.544,183.514,183.515,877.2
01.04.2026 00:40:00.000 UTC,183.515,183.586,183.512,183.581,715.6499999999999
01.04.2026 00:45:00.000 UTC,183.581,183.664,183.575,183.62,1081.35
01.04.2026 00:50:00.000 UTC,183.622,183.76,183.61,183.76,1423.5900000000001
01.04.2026 00:55:00.000 UTC,183.761,183.779,183.693,183.722,934.0799999999999
01.04.2026 01:00:00.000 UTC,183.722,183.792,183.681,183.744,1730.01
01.04.2026 01:05:00.000 UTC,183.743,183.745,183.663,183.667,1521.15
01.04.2026 01:10:00.000 UTC,183.666,183.687,183.643,183.647,1372.77
01.04.2026 01:15:00.000 UTC,183.647,183.655,183.573,183.583,1256.22
01.04.2026 01:20:00.000 UTC,183.583,183.586,183.511,183.514,1205.22
01.04.2026 01:25:00.000 UTC,183.514,183.546,183.5,183.509,1188.27
01.04.2026 01:30:00.000 UTC,183.503,183.543,183.503,183.525,1046.85
01.04.2026 01:35:00.000 UTC,183.52,183.595,183.519,183.59,1417.35
01.04.2026 01:40:00.000 UTC,183.59,183.602,183.516,183.521,765.4499999999999
01.04.2026 01:45:00.000 UTC,183.522,183.528,183.47,183.474,745.2
01.04.2026 01:50:00.000 UTC,183.472,183.489,183.456,183.488,753.6
01.04.2026 01:55:00.000 UTC,183.49,183.497,183.457,183.487,1213.2
