UTC,Open,High,Low,Close,Volume
31.03.2026 00:00:00.000 UTC,210.538,210.557,210.423,210.518,947.3199999999999
31.03.2026 00:05:00.000 UTC,210.516,210.568,210.489,210.536,612.6
31.03.2026 00:10:00.000 UTC,210.541,210.569,210.476,210.478,655.1
31.03.2026 00:15:00.000 UTC,210.48,210.486,210.419,210.448,540.75
31.03.2026 00:20:00.000 UTC,210.448,210.479,210.429,210.456,446.69999999999993
31.03.2026 00:25:00.000 UTC,210.455,210.529,210.45,210.501,427.87
31.03.2026 00:30:00.000 UTC,210.501,210.523,210.48,210.498,428.55
31.03.2026 00:35:00.000 UTC,210.498,210.63,210.491,210.617,1086.4499999999998
31.03.2026 00:40:00.000 UTC,210.613,210.791,210.587,210.77,1338.3000000000002
31.03.2026 00:45:00.000 UTC,210.77,210.892,210.765,210.884,2101.01
31.03.2026 00:50:00.000 UTC,210.883,210.957,210.81,210.896,2301.29
31.03.2026 00:55:00.000 UTC,210.895,211.057,210.895,211.043,1896.6000000000001
31.03.2026 01:00:00.000 UTC,211.045,211.135,211.022,211.114,1292.85
31.03.2026 01:05:00.000 UTC,211.116,211.142,211.039,211.071,1333.3500000000001
31.03.2026 01:10:00.000 UTC,211.071,211.092,211.038,211.041,952.6199999999999
31.03.2026 01:15:00.000 UTC,211.035,211.065,211.012,211.037,907.73
31.03.2026 01:20:00.000 UTC,211.04,211.146,211.032,211.122,929.3199999999999
31.03.2026 01:25:00.000 UTC,211.123,211.189,211.115,211.189,1159.4899999999998
31.03.2026 01:30:00.000 UTC,211.19,211.213,211.131,211.18,1212.75
31.03.2026 01:35:00.000 UTC,211.177,211.201,211.12,211.179,1309.63
31.03.2026 01:40:00.000 UTC,211.178,211.178,211.066,211.087,1126.0500000000002
31.03.2026 01:45:00.000 UTC,211.084,211.089,210.983,210.994,1119.6
31.03.2026 01:50:00.000 UTC,210.991,211.017,210.946,210.995,1151.09
31.03.2026 01:55:00.000 UTC,210.996,211.025,210.951,211.023,1055.1
31.03.2026 02:00:00.000 UTC,211.023,211.032,210.955,210.999,1340.55
31.03.2026 02:05:00.000 UTC,210.997,211.029,210.962,211.011,727.9499999999999
31.03.2026 02:10:00.000 UTC,211.011,211.032,210.963,210.97,872.55
31.03.2026 02:15:00.000 UTC,210.97,210.999,210.899,210.922,1047.3
31.03.2026 02:20:00.000 UTC,210.924,210.963,210.896,210.934,490.2
31.03.2026 02:25:00.000 UTC,210.935,210.94,210.896,210.933,507.9
31.03.2026 02:30:00.000 UTC,210.938,210.947,210.899,210.918,645.4499999999999
31.03.2026 02:35:00.000 UTC,210.917,210.933,210.883,210.893,374.1
31.03.2026 02:40:00.000 UTC,210.894,210.897,210.858,210.874,540.3
31.03.2026 02:45:00.000 UTC,210.871,210.874,210.788,210.846,1184.85
31.03.2026 02:50:00.000 UTC,210.846,210.891,210.846,210.855,670.6500000000001
31.03.2026 02:55:00.000 UTC,210.858,210.86,210.819,210.819,564.6
31.03.2026 03:00:00.000 UTC,210.818,210.849,210.81,210.822,829.5
31.03.2026 03:05:00.000 UTC,210.821,210.868,210.815,210.843,920.6999999999998
31.03.2026 03:10:00.000 UTC,210.843,210.884,210.838,210.847,578.25
31.03.2026 03:15:00.000 UTC,210.847,210.865,210.823,210.849,863.85
31.03.2026 03:20:00.000 UTC,210.85,210.885,210.846,210.853,662.1
31.03.2026 03:25:00.000 UTC,210.854,210.878,210.847,210.852,739.5
31.03.2026 03:30:00.000 UTC,210.853,210.868,210.841,210.847,833.5500000000001
31.03.2026 03:35:00.000 UTC,210.849,210.858,210.811,210.812,573.5999999999999
31.03.2026 03:40:00.000 UTC,210.808,210.844,210.768,210.812,308.84999999999997
31.03.2026 03:45:00.000 UTC,210.815,210.848,210.796,210.819,393.45000000000005
31.03.2026 03:50:00.000 UTC,210.819,210.847,210.806,210.813,405.3
31.03.2026 03:55:00.000 UTC,210.816,210.829,210.799,210.828,247.2
31.03.2026 04:00:00.000 UTC,210.831,210.835,210.815,210.825,323.1
31.03.2026 04:05:00.000 UTC,210.824,210.841,210.822,210.837,242.39999999999998
31.03.2026 04:10:00.000 UTC,210.836,210.852,210.803,210.808,256.5
31.03.2026 04:15:00.000 UTC,210.807,210.828,210.801,210.821,222.6
31.03.2026 04:20:00.000 UTC,210.832,210.841,210.773,210.781,219.14999999999998
31.03.2026 04:25:00.000 UTC,210.781,210.784,210.716,210.725,337.65
31.03.2026 04:30:00.000 UTC,210.724,210.749,210.717,210.74,379.95000000000005
31.03.2026 04:35:00.000 UTC,210.74,210.75,210.719,210.738,256.20000000000005
31.03.2026 04:40:00.000 UTC,210.737,210.737,210.709,210.719,168.6
31.03.2026 04:45:00.000 UTC,210.72,210.731,210.679,210.683,397.04999999999995
31.03.2026 04:50:00.000 UTC,210.688,210.688,210.665,210.683,249.07
31.03.2026 04:55:00.000 UTC,210.687,210.706,210.64,210.647,464.55
31.03.2026 05:00:00.000 UTC,210.645,210.665,210.622,210.654,426.45
31.03.2026 05:05:00.000 UTC,210.659,210.66,210.587,210.615,421.49999999999994
31.03.2026 05:10:00.000 UTC,210.615,210.617,210.404,210.47,1184.4
31.03.2026 05:15:00.000 UTC,210.465,210.512,210.459,210.469,522.0699999999999
31.03.2026 05:20:00.000 UTC,210.47,210.592,210.469,210.587,403.95000000000005
31.03.2026 05:25:00.000 UTC,210.587,210.704,210.587,210.681,990.3
31.03.2026 05:30:00.000 UTC,210.683,210.768,210.655,210.758,853.35
31.03.2026 05:35:00.000 UTC,210.759,210.767,210.723,210.729,450.3
31.03.2026 05:40:00.000 UTC,210.731,210.738,210.684,210.695,402
31.03.2026 05:45:00.000 UTC,210.695,210.788,210.658,210.788,639.1500000000001
31.03.2026 05:50:00.000 UTC,210.793,210.83,210.744,210.747,760.4199999999998
31.03.2026 05:55:00.000 UTC,210.744,210.744,210.671,210.708,659.7800000000001
31.03.2026 06:00:00.000 UTC,210.696,210.779,210.644,210.75,681.9000000000001
31.03.2026 06:05:00.000 UTC,210.75,210.76,210.645,210.698,643.2
31.03.2026 06:10:00.000 UTC,210.699,210.764,210.699,210.75,1152.3000000000002
31.03.2026 06:15:00.000 UTC,210.749,210.749,210.625,210.642,855.15
31.03.2026 06:20:00.000 UTC,210.642,210.723,210.635,210.673,765.67
31.03.2026 06:25:00.000 UTC,210.674,210.73,210.627,210.683,817.65
31.03.2026 06:30:00.000 UTC,210.686,210.824,210.67,210.808,975.14
31.03.2026 06:35:00.000 UTC,210.807,210.808,210.727,210.795,661.5
31.03.2026 06:40:00.000 UTC,210.794,210.839,210.723,210.781,642.3
