UTC,Open,High,Low,Close,Volume
01.04.2026 00:00:00.000 UTC,1.32431,1.32443,1.3239,1.32442,533.25
01.04.2026 00:05:00.000 UTC,1.32442,1.32453,1.3243,1.3243,378.15
01.04.2026 00:10:00.000 UTC,1.3243,1.32464,1.32417,1.32461,325
01.04.2026 00:15:00.000 UTC,1.32462,1.32524,1.32456,1.3251,1169.5900000000001
01.04.2026 00:20:00.000 UTC,1.32509,1.32535,1.32503,1.32523,371.78000000000003
01.04.2026 00:25:00.000 UTC,1.32524,1.32527,1.32501,1.32525,274.68
01.04.2026 00:30:00.000 UTC,1.32527,1.32542,1.32514,1.3253,313.38
01.04.2026 00:35:00.000 UTC,1.32531,1.32533,1.32487,1.3251,225.5
01.04.2026 00:40:00.000 UTC,1.32507,1.32528,1.32501,1.32513,128.44
01.04.2026 00:45:00.000 UTC,1.32512,1.3252,1.32476,1.3248,331.55
01.04.2026 00:50:00.000 UTC,1.32481,1.32486,1.32434,1.32467,307.24
01.04.2026 00:55:00.000 UTC,1.32467,1.32473,1.32436,1.32461,281.28999999999996
01.04.2026 01:00:00.000 UTC,1.32461,1.32471,1.32293,1.32295,1037.5500000000002
01.04.2026 01:05:00.000 UTC,1.32292,1.32332,1.32193,1.3233,736.2700000000001
01.04.2026 01:10:00.000 UTC,1.3233,1.32362,1.32319,1.32361,427.84000000000003
01.04.2026 01:15:00.000 UTC,1.32361,1.32361,1.32312,1.32329,625.37
01.04.2026 01:20:00.000 UTC,1.32328,1.32357,1.32267,1.3227,679.6600000000001
01.04.2026 01:25:00.000 UTC,1.3227,1.32355,1.3227,1.32348,455.3
01.04.2026 01:30:00.000 UTC,1.32348,1.32361,1.32292,1.32298,534.83
01.04.2026 01:35:00.000 UTC,1.32299,1.32305,1.32208,1.32238,593.02
01.04.2026 01:40:00.000 UTC,1.3224,1.32261,1.32217,1.3226,362.09000000000003
01.04.2026 01:45:00.000 UTC,1.32258,1.32286,1.32232,1.32266,413.64
01.04.2026 01:50:00.000 UTC,1.32267,1.32314,1.32255,1.32309,497.89
01.04.2026 01:55:00.000 UTC,1.3231,1.32325,1.32303,1.3231,421.28999999999996
01.04.2026 02:00:00.000 UTC,1.32312,1.32365,1.32293,1.32361,491.85
01.04.2026 02:05:00.000 UTC,1.32362,1.32392,1.32362,1.32385,356.03
01.04.2026 02:10:00.000 UTC,1.32385,1.32392,1.32348,1.32364,363.27000000000004
01.04.2026 02:15:00.000 UTC,1.32362,1.32385,1.3236,1.32375,169.69000000000003
01.04.2026 02:20:00.000 UTC,1.32374,1.32383,1.32355,1.3238,186.95000000000002
01.04.2026 02:25:00.000 UTC,1.32384,1.32384,1.32354,1.32358,324.53
01.04.2026 02:30:00.000 UTC,1.32358,1.32358,1.32324,1.32331,371.45000000000005
01.04.2026 02:35:00.000 UTC,1.32332,1.32342,1.3231,1.32333,390.45
01.04.2026 02:40:00.000 UTC,1.32334,1.32381,1.32325,1.32375,254.25
01.04.2026 02:45:00.000 UTC,1.32376,1.32401,1.32376,1.32385,206.09999999999997
01.04.2026 02:50:00.000 UTC,1.32386,1.32418,1.32386,1.32418,350.25000000000006
01.04.2026 02:55:00.000 UTC,1.32418,1.32433,1.32393,1.32399,285.06
01.04.2026 03:00:00.000 UTC,1.32396,1.32396,1.32346,1.3237,415.4
01.04.2026 03:05:00.000 UTC,1.32369,1.32385,1.32362,1.32377,273.7
01.04.2026 03:10:00.000 UTC,1.32377,1.32386,1.3237,1.3237,195.05
01.04.2026 03:15:00.000 UTC,1.32373,1.3239,1.32352,1.32385,283.7
01.04.2026 03:20:00.000 UTC,1.32385,1.32386,1.3236,1.32363,171.2
01.04.2026 03:25:00.000 UTC,1.32362,1.32375,1.32354,1.32356,186.75
01.04.2026 03:30:00.000 UTC,1.32354,1.32366,1.32346,1.32356,241.3
01.04.2026 03:35:00.000 UTC,1.32355,1.32371,1.32346,1.32364,284.4
01.04.2026 03:40:00.000 UTC,1.32364,1.32364,1.32351,1.32355,190.4
01.04.2026 03:45:00.000 UTC,1.32356,1.32357,1.32326,1.32328,166.95
01.04.2026 03:50:00.000 UTC,1.32327,1.32346,1.32313,1.32345,229.6
01.04.2026 03:55:00.000 UTC,1.32346,1.32355,1.32325,1.32331,172.35
01.04.2026 04:00:00.000 UTC,1.32331,1.32353,1.32321,1.32345,252.55
01.04.2026 04:05:00.000 UTC,1.32344,1.32388,1.32343,1.32385,207.5
01.04.2026 04:10:00.000 UTC,1.32385,1.32388,1.32365,1.3237,170.99
01.04.2026 04:15:00.000 UTC,1.32372,1.32372,1.32333,1.32341,229.84
01.04.2026 04:20:00.000 UTC,1.32341,1.32362,1.32334,1.32362,279.75
01.04.2026 04:25:00.000 UTC,1.32362,1.32377,1.3235,1.32377,260.8
01.04.2026 04:30:00.000 UTC,1.32376,1.32376,1.32352,1.32365,226.51999999999998
01.04.2026 04:35:00.000 UTC,1.32364,1.324,1.32355,1.32395,249.79
01.04.2026 04:40:00.000 UTC,1.32395,1.32413,1.32388,1.32413,123.74999999999999
01.04.2026 04:45:00.000 UTC,1.32413,1.32425,1.32397,1.32424,226.35000000000002
01.04.2026 04:50:00.000 UTC,1.32425,1.32432,1.32417,1.32418,332.9
01.04.2026 04:55:00.000 UTC,1.32416,1.3243,1.32386,1.32429,301.8
01.04.2026 05:00:00.000 UTC,1.32428,1.32453,1.32414,1.32439,278.55
01.04.2026 05:05:00.000 UTC,1.32437,1.32509,1.32436,1.32502,304.85
01.04.2026 05:10:00.000 UTC,1.32502,1.32505,1.32478,1.32493,376.9
01.04.2026 05:15:00.000 UTC,1.32492,1.32503,1.32474,1.32494,166.25
01.04.2026 05:20:00.000 UTC,1.32495,1.32527,1.32485,1.32527,173
01.04.2026 05:25:00.000 UTC,1.32525,1.32562,1.32524,1.32555,340.45
01.04.2026 05:30:00.000 UTC,1.32556,1.32571,1.32548,1.32568,221.18
01.04.2026 05:35:00.000 UTC,1.32565,1.32596,1.32546,1.32595,208.5
01.04.2026 05:40:00.000 UTC,1.32596,1.32612,1.32579,1.3261,250.39999999999998
01.04.2026 05:45:00.000 UTC,1.32612,1.32647,1.32597,1.32647,256.1
01.04.2026 05:50:00.000 UTC,1.32647,1.3265,1.32604,1.32616,359.55
01.04.2026 05:55:00.000 UTC,1.32616,1.32621,1.32561,1.32562,542.57
01.04.2026 06:00:00.000 UTC,1.32562,1.3261,1.32561,1.32561,731.2
01.04.2026 06:05:00.000 UTC,1.32563,1.32593,1.32547,1.32581,410.02
01.04.2026 06:10:00.000 UTC,1.3258,1.32674,1.32579,1.32654,575.4300000000001
01.04.2026 06:15:00.000 UTC,1.32653,1.32689,1.32651,1.32675,613.4399999999999
01.04.2026 06:20:00.000 UTC,1.32675,1.32781,1.32646,1.32768,719.3600000000001
01.04.2026 06:25:00.000 UTC,1.32768,1.32889,1.32767,1.32853,721.05
01.04.2026 06:30:00.000 UTC,1.32853,1.3289,1.32819,1.32829,1106.79
01.04.2026 06:35:00.000 UTC,1.32831,1.32831,1.32758,1.3276,1527.1699999999998
01.04.2026 06:40:00.000 UTC,1.32761,1.32871,1.32752,1.32854,892.06
01.04.2026 06:45:00.000 UTC,1.32855,1.32927,1.32812,1.32841,909.0800000000002
