UTC,Open,High,Low,Close,Volume
01.04.2026 00:00:00.000 UTC,1.39032,1.39067,1.3903,1.39031,876.1500000000001
01.04.2026 00:05:00.000 UTC,1.39031,1.39033,1.38993,1.38993,1174.35
01.04.2026 00:10:00.000 UTC,1.38994,1.39007,1.38982,1.38986,700.6500000000001
01.04.2026 00:15:00.000 UTC,1.38986,1.38991,1.38963,1.38973,1018.8
01.04.2026 00:20:00.000 UTC,1.38973,1.38982,1.38969,1.38974,663.84
01.04.2026 00:25:00.000 UTC,1.38975,1.38987,1.38972,1.38975,547.35
01.04.2026 00:30:00.000 UTC,1.38976,1.38979,1.38965,1.38969,548.1
01.04.2026 00:35:00.000 UTC,1.38967,1.38998,1.38967,1.38975,366.3
01.04.2026 00:40:00.000 UTC,1.38976,1.38979,1.38964,1.38965,273.15
01.04.2026 00:45:00.000 UTC,1.38964,1.38982,1.38964,1.38981,848.22
01.04.2026 00:50:00.000 UTC,1.38982,1.38998,1.38973,1.38995,463.34999999999997
01.04.2026 00:55:00.000 UTC,1.38991,1.39,1.38975,1.38982,320.55
01.04.2026 01:00:00.000 UTC,1.3898,1.39062,1.38976,1.39062,555.96
01.04.2026 01:05:00.000 UTC,1.39062,1.39106,1.39054,1.39057,522.45
01.04.2026 01:10:00.000 UTC,1.39058,1.39064,1.39036,1.39036,429.6
01.04.2026 01:15:00.000 UTC,1.39035,1.39068,1.39035,1.39064,560.1
01.04.2026 01:20:00.000 UTC,1.39064,1.39075,1.39045,1.39063,454.95000000000005
01.04.2026 01:25:00.000 UTC,1.39064,1.39064,1.39016,1.39021,538.77
01.04.2026 01:30:00.000 UTC,1.39022,1.39061,1.39016,1.39061,638.88
01.04.2026 01:35:00.000 UTC,1.39058,1.39082,1.3905,1.39067,627.33
01.04.2026 01:40:00.000 UTC,1.39065,1.39084,1.39065,1.39081,260.4
01.04.2026 01:45:00.000 UTC,1.39079,1.3911,1.39078,1.39101,579.78
01.04.2026 01:50:00.000 UTC,1.391,1.39103,1.39075,1.39075,367.8
01.04.2026 01:55:00.000 UTC,1.39075,1.3908,1.39067,1.39073,408.30000000000007
01.04.2026 02:00:00.000 UTC,1.39072,1.39089,1.39041,1.39043,559.2
01.04.2026 02:05:00.000 UTC,1.39042,1.3905,1.39027,1.39045,504.6
01.04.2026 02:10:00.000 UTC,1.39045,1.39059,1.3904,1.39052,447.6
01.04.2026 02:15:00.000 UTC,1.39053,1.39055,1.39033,1.39045,479.85
01.04.2026 02:20:00.000 UTC,1.39047,1.39066,1.39043,1.39049,483.96999999999997
01.04.2026 02:25:00.000 UTC,1.3905,1.3906,1.39047,1.39058,521.43
01.04.2026 02:30:00.000 UTC,1.39059,1.39065,1.39048,1.39059,548.7
01.04.2026 02:35:00.000 UTC,1.39058,1.39065,1.39041,1.39043,466.35
01.04.2026 02:40:00.000 UTC,1.39043,1.39053,1.39024,1.39026,772.05
01.04.2026 02:45:00.000 UTC,1.39027,1.39029,1.39014,1.39025,699
01.04.2026 02:50:00.000 UTC,1.39024,1.39025,1.38998,1.39,456.3
01.04.2026 02:55:00.000 UTC,1.39,1.39018,1.38991,1.39017,545.7
01.04.2026 03:00:00.000 UTC,1.39018,1.3904,1.39018,1.39032,509.1
01.04.2026 03:05:00.000 UTC,1.39032,1.39037,1.39021,1.39023,310.5
01.04.2026 03:10:00.000 UTC,1.39024,1.39027,1.39012,1.3902,286.95
01.04.2026 03:15:00.000 UTC,1.39019,1.39029,1.39009,1.39013,289.05
01.04.2026 03:20:00.000 UTC,1.39012,1.39057,1.39012,1.39054,256.8
01.04.2026 03:25:00.000 UTC,1.39053,1.39061,1.39042,1.3906,358.95
01.04.2026 03:30:00.000 UTC,1.3906,1.39074,1.39056,1.39065,383.7
01.04.2026 03:35:00.000 UTC,1.39065,1.39071,1.3906,1.39064,393.45
01.04.2026 03:40:00.000 UTC,1.39063,1.39092,1.39063,1.39092,289.35
01.04.2026 03:45:00.000 UTC,1.3909,1.39112,1.3909,1.3911,252.3
01.04.2026 03:50:00.000 UTC,1.3911,1.39116,1.3909,1.39094,253.34999999999997
01.04.2026 03:55:00.000 UTC,1.39094,1.39106,1.3909,1.39102,184.95
01.04.2026 04:00:00.000 UTC,1.391,1.39109,1.39092,1.39093,184.05
01.04.2026 04:05:00.000 UTC,1.39094,1.39099,1.39074,1.39077,239.39999999999998
01.04.2026 04:10:00.000 UTC,1.39077,1.39094,1.39074,1.39086,228.14999999999998
01.04.2026 04:15:00.000 UTC,1.39086,1.39102,1.39086,1.39098,262.65000000000003
01.04.2026 04:20:00.000 UTC,1.39099,1.3911,1.39091,1.39092,295.2
01.04.2026 04:25:00.000 UTC,1.39092,1.39103,1.39088,1.39088,169.95
01.04.2026 04:30:00.000 UTC,1.39088,1.39094,1.3908,1.39087,398.99999999999994
01.04.2026 04:35:00.000 UTC,1.39088,1.391,1.39086,1.39091,262.8
01.04.2026 04:40:00.000 UTC,1.39092,1.39095,1.39089,1.3909,197.7
01.04.2026 04:45:00.000 UTC,1.39089,1.39093,1.39077,1.3908,218.10000000000002
01.04.2026 04:50:00.000 UTC,1.39081,1.39082,1.3907,1.39073,107.4
01.04.2026 04:55:00.000 UTC,1.39076,1.3909,1.39075,1.39087,326.4
01.04.2026 05:00:00.000 UTC,1.39086,1.39101,1.39081,1.39089,357.1499999999999
01.04.2026 05:05:00.000 UTC,1.39089,1.3909,1.39059,1.39063,363.3
01.04.2026 05:10:00.000 UTC,1.39062,1.39093,1.39062,1.39087,391.04999999999995
01.04.2026 05:15:00.000 UTC,1.39087,1.39094,1.39075,1.39082,326.40000000000003
01.04.2026 05:20:00.000 UTC,1.39084,1.39088,1.3906,1.39061,344.40000000000003
01.04.2026 05:25:00.000 UTC,1.3906,1.39061,1.39032,1.39032,425.09999999999997
01.04.2026 05:30:00.000 UTC,1.39031,1.39036,1.39014,1.39016,512.25
01.04.2026 05:35:00.000 UTC,1.39017,1.3903,1.39011,1.39012,490.95
