UTC,Open,High,Low,Close,Volume
01.04.2026 00:00:00.000 UTC,158.585,158.612,158.551,158.551,439.16
01.04.2026 00:05:00.000 UTC,158.554,158.599,158.552,158.593,673.9899999999999
01.04.2026 00:10:00.000 UTC,158.593,158.621,158.571,158.577,399.83000000000004
01.04.2026 00:15:00.000 UTC,158.583,158.587,158.517,158.52,475.68
01.04.2026 00:20:00.000 UTC,158.52,158.525,158.451,158.482,800.3199999999999
01.04.2026 00:25:00.000 UTC,158.481,158.54,158.475,158.539,463.33000000000004
01.04.2026 00:30:00.000 UTC,158.538,158.589,158.522,158.583,377.89
01.04.2026 00:35:00.000 UTC,158.583,158.615,158.574,158.574,506.00000000000006
01.04.2026 00:40:00.000 UTC,158.575,158.641,158.564,158.635,304.86
01.04.2026 00:45:00.000 UTC,158.636,158.731,158.636,158.723,652.3000000000001
01.04.2026 00:50:00.000 UTC,158.722,158.842,158.698,158.82,1084.82
01.04.2026 00:55:00.000 UTC,158.822,158.833,158.761,158.785,573.57
01.04.2026 01:00:00.000 UTC,158.785,158.991,158.775,158.972,1366.56
01.04.2026 01:05:00.000 UTC,158.972,159.01,158.891,158.897,1228.48
01.04.2026 01:10:00.000 UTC,158.896,158.92,158.843,158.843,638.8499999999999
01.04.2026 01:15:00.000 UTC,158.844,158.883,158.824,158.845,511.2699999999999
01.04.2026 01:20:00.000 UTC,158.842,158.857,158.812,158.823,567.81
01.04.2026 01:25:00.000 UTC,158.822,158.822,158.743,158.746,535.34
01.04.2026 01:30:00.000 UTC,158.746,158.812,158.732,158.805,423.25
01.04.2026 01:35:00.000 UTC,158.801,158.909,158.798,158.906,778.04
01.04.2026 01:40:00.000 UTC,158.906,158.936,158.853,158.853,580.64
01.04.2026 01:45:00.000 UTC,158.853,158.871,158.8,158.809,593.22
01.04.2026 01:50:00.000 UTC,158.808,158.813,158.754,158.769,314.98
01.04.2026 01:55:00.000 UTC,158.77,158.777,158.744,158.757,514.5
01.04.2026 02:00:00.000 UTC,158.754,158.786,158.703,158.706,607.3100000000001
01.04.2026 02:05:00.000 UTC,158.705,158.733,158.701,158.732,521.5300000000001
01.04.2026 02:10:00.000 UTC,158.73,158.739,158.703,158.704,518.1
01.04.2026 02:15:00.000 UTC,158.705,158.714,158.693,158.707,363.45000000000005
01.04.2026 02:20:00.000 UTC,158.706,158.743,158.692,158.692,385.65000000000003
01.04.2026 02:25:00.000 UTC,158.691,158.732,158.686,158.732,356.55
01.04.2026 02:30:00.000 UTC,158.733,158.744,158.705,158.737,309.29999999999995
01.04.2026 02:35:00.000 UTC,158.734,158.77,158.721,158.733,310.79
01.04.2026 02:40:00.000 UTC,158.734,158.751,158.696,158.706,317.62
